cofog1.code,cofog1.label,cofog2.code,cofog2.label,year,amount
1,Alminnelig offentlig tjenesteyting,01.1,"Utøvende og lovgivende myndigheter, finansielle og fiskale formål, utenriksforhold",1996,1.1895E10
1,Alminnelig offentlig tjenesteyting,01.1,"Utøvende og lovgivende myndigheter, finansielle og fiskale formål, utenriksforhold",1997,1.2398E10
1,Alminnelig offentlig tjenesteyting,01.1,"Utøvende og lovgivende myndigheter, finansielle og fiskale formål, utenriksforhold",1998,1.3488E10
1,Alminnelig offentlig tjenesteyting,01.1,"Utøvende og lovgivende myndigheter, finansielle og fiskale formål, utenriksforhold",1999,1.4603E10
1,Alminnelig offentlig tjenesteyting,01.1,"Utøvende og lovgivende myndigheter, finansielle og fiskale formål, utenriksforhold",2000,1.5485E10
1,Alminnelig offentlig tjenesteyting,01.1,"Utøvende og lovgivende myndigheter, finansielle og fiskale formål, utenriksforhold",2001,2.7269E10
1,Alminnelig offentlig tjenesteyting,01.1,"Utøvende og lovgivende myndigheter, finansielle og fiskale formål, utenriksforhold",2002,2.6132E10
1,Alminnelig offentlig tjenesteyting,01.1,"Utøvende og lovgivende myndigheter, finansielle og fiskale formål, utenriksforhold",2003,2.6502E10
1,Alminnelig offentlig tjenesteyting,01.1,"Utøvende og lovgivende myndigheter, finansielle og fiskale formål, utenriksforhold",2004,2.7165E10
1,Alminnelig offentlig tjenesteyting,01.1,"Utøvende og lovgivende myndigheter, finansielle og fiskale formål, utenriksforhold",2005,2.8298E10
1,Alminnelig offentlig tjenesteyting,01.1,"Utøvende og lovgivende myndigheter, finansielle og fiskale formål, utenriksforhold",2006,3.0328E10
1,Alminnelig offentlig tjenesteyting,01.1,"Utøvende og lovgivende myndigheter, finansielle og fiskale formål, utenriksforhold",2007,3.3772E10
1,Alminnelig offentlig tjenesteyting,01.1,"Utøvende og lovgivende myndigheter, finansielle og fiskale formål, utenriksforhold",2008,3.6322E10
